Mês;Marlon Colovini - 01;Marlon Colovini - 02;Mara Barichello;Jandira Dutra;Luiz Fernando Kruger;Paulo Bohn - 01;Paulo Bohn - 02;Paulo Bohn - 03;Paulo Bohn - 04;Analia (Clodoaldo Entre-Ijuis);Biroh;Gelson Posser;Supermercado Caryone;Ernani Minetto;Jair Moscon;Fabio Milke - 01;Fabio Milke - 02;Piaia;Osmar Veronese; José Luiz Moraes;Supermercado Cripy;Gláucio Lipski (Giruá);Contri;Cleci Rubi;Betine Rost;Robinson Fetter - 01;Robinson Fetter - 02;Robinson Fetter - 03;Fabio De Moura;Rochele Santos Moraes;Auto Posto Kairã;Erno Schiefelbain;José Paulo Backes;Gelso Tofolo;Diamantino;Mercado Bueno;Daniela Donadel Massalai;Comercio De Moto Peças Irmãos Guarani Ltda;Mauricio Luis Lunardi;Rosa Maria Restle Radunz;Ivo Amaral De Oliveira;Silvio Robert Lemos Avila;Eldo Rost;Padaria Avenida - 01;Padaria Avenida - 02;Cristiano Anshau;Luciana Claudete Meirelles Correa;Marcio Jose Siqueira;Marcos Rogerio Kessler;AABB - 01;AABB - 02;Wanda Burkard - 01;Wanda Burkard - 02;Silvio Robert Lemos Avila Me;Carmelo;Antonio Dal Forno;Marisane Paulus;Segatto Ceretta Ltda;APAE - 01;APAE - 02;Cássio Burin;Patrick Kristoschek Da Silva;Silvio Robert Ávila - (Valmir);Zederson Jose Della Flora;Carlos Walmir Larsão Rolim;Danieli Missio;José Vasconcellos;Linho Lev Alimentos;Ernani Czapla;Valesca Da Luz;Olavo Mildner;Dilnei Rohled;Shaiana Signorini;Fonse Atacado;Comercial de Alimentos;Ivone Kasburg Serralheria;Mercado Ceretta;Antonio Carlos Dos Santos Pereira;Volnei Lemos Avila - Me;Silvana Meneghini;Eficaz Engenharia Ltda;Tania Regina Schmaltz - 01;Tania Regina Schmaltz - 02;Camila Ceretta Segatto;Vagner Ribas Dos Santos;Claudio Alfredo Konrat
jan/18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/18; R$ 32,58 ; R$ 134,40 ; R$ 35,64 ; R$ 27,63 ;; R$ 48,60 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/18; R$ 33,74 ; R$ 73,68 ; R$ 38,49 ; R$ 31,71 ; R$ 48,73 ; R$ 62,93 ; R$ 23,49 ; R$ 122,86 ; R$ 45,43 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/18; R$ 36,00 ; R$ 55,34 ; R$ 35,21 ; R$ 41,62 ; R$ 65,08 ; R$ 63,05 ; R$ 27,04 ; R$ 67,69 ; R$ 82,53 ; R$ 53,24 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/18; R$ 37,34 ; R$ 66,02 ; R$ 64,36 ; R$ 106,90 ; R$ 127,00 ; R$ 64,25 ; R$ 28,41 ; R$ 120,66 ; R$ 115,82 ; R$ 44,64 ; R$ 459,37 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/18; R$ 40,09 ; R$ 107,18 ; R$ 68,30 ; R$ 97,41 ; R$ 146,86 ; R$ 64,88 ;; R$ 129,52 ; R$ 103,50 ;; R$ 752,53 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/18; R$ 53,15 ; R$ 248,94 ; R$ 78,89 ; R$ 91,23 ; R$ 272,91 ; R$ 108,14 ; R$ 51,12 ; R$ 147,69 ; R$ 100,27 ; R$ 88,04 ; R$ 752,53 ; R$ 213,12 ; R$ 1.695,57 ; R$ 773,14 ; R$ 70,17 ; R$ 359,54 ; R$ 373,38 ;;;; R$ 1.695,57 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/18; R$ 57,40 ; R$ 122,15 ; R$ 52,21 ; R$ 104,33 ; R$ 153,49 ; R$ 74,60 ;; R$ 147,13 ; R$ 100,88 ; R$ 49,96 ; R$ 802,10 ; R$ 131,11 ; R$ 1.184,04 ; R$ 591,35 ; R$ 72,29 ; R$ 243,73 ; R$ 357,73 ; R$ 689,93 ;;; R$ 1.184,04 ;; R$ 2.468,12 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/18; R$ 51,04 ; R$ 163,11 ; R$ 54,44 ; R$ 99,83 ; R$ 138,20 ; R$ 72,47 ;; R$ 166,52 ; R$ 126,55 ; R$ 49,43 ; R$ 757,88 ; R$ 71,74 ; R$ 533,78 ; R$ 415,86 ; R$ 70,59 ; R$ 105,14 ; R$ 319,77 ; R$ 202,81 ; R$ 757,78 ;; R$ 533,78 ;; R$ 1.058,86 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
